Plate2	Replicate	Blank3	P501-300	P503-300	P504-300	P506-300	WT	lrhA	P508-300	P509-300	P511-300	P512-300	Blank4
Plate4	B	0.05184	0.09666	0.07506	0.06534	0.08856	0.0648	0.06048	0.11286	0.07776	0.08316	0.08694	0.05184
Plate4	C	0.05076	0.10476	0.08586	0.07128	0.11556	0.07614	0.0648	0.13554	0.08046	0.08748	0.09774	0.05184
Plate4	D	0.05022	0.10044	0.08532	0.07398	0.1026	0.07182	0.06696	0.14202	0.081	0.09018	0.0945	0.05184
Plate4	E	0.05076	0.0999	0.08262	0.07074	0.0999	0.0729	0.0675	0.135	0.0783	0.08586	0.09288	0.05184
Plate4	F	0.05022	0.10584	0.07884	0.06534	0.08424	0.06372	0.06264	0.12474	0.07938	0.07506	0.08802	0.05238
Plate4	G	0.05076	0.0945	0.08424	0.06912	0.09072	0.07182	0.07236	0.1377	0.09072	0.081	0.08856	0.05184
Plate4	H	0.0486	0.09666	0.09828	0.09828	0.10962	0.0891	0.07398	0.10584	0.09072	0.07776	0.07506	0.04968
Plate5	Replicate	Blank11	P513_900	P516_900	P518_900	P520_900	WT	P521_900	P523_900	P524_900	P515_300	Blank12	Blank13
Plate5	A	0.05184	0.21978	0.20358	0.10854	0.14958	0.0972	0.081	0.1215	0.1161	0.1026	0.0486	0.04806
Plate5	B	0.0513	0.19062	0.14418	0.08532	0.12528	0.081	0.06804	0.09504	0.09558	0.08316	0.04914	0.04914
Plate5	C	0.05292	0.18792	0.1593	0.081	0.1404	0.07236	0.06912	0.08154	0.08532	0.0837	0.05022	0.04914
Plate5	D	0.05346	0.19116	0.15174	0.08262	0.13122	0.07182	0.06534	0.08208	0.07722	0.08046	0.05076	0.04806
Plate5	E	0.05292	0.1944	0.13284	0.08154	0.1539	0.06966	0.06642	0.08748	0.0702	0.08046	0.04968	0.04806
Plate5	F	0.05238	0.20088	0.15552	0.08532	0.14904	0.07938	0.07776	0.0918	0.08316	0.09126	0.0513	0.0486
Plate5	G	0.05508	0.18414	0.12258	0.07668	0.13716	0.0594	0.06372	0.07614	0.07128	0.0729	0.04914	0.04698
Plate5	H	0.05508	0.17766	0.13176	0.09882	0.13554	0.0945	0.08856	0.12042	0.10854	0.09504	0.05076	0.04914
Plate6	Replicate	Blank14	Blank15	fimE	paaX	ydcI	WT	lrhA	hdfR	P515_900	Blank16	Blank17	Blank18
Plate6	A	0.088	0.089	0.141	0.092	0.099	0.102	0.1	0.112	0.127	0.1	0.096	0.095
Plate6	B	0.091	0.091	0.153	0.095	0.098	0.096	0.102	0.101	0.111	0.098	0.097	0.096
Plate6	C	0.092	0.094	0.189	0.105	0.118	0.117	0.108	0.109	0.14	0.1	0.096	0.096
Plate6	D	0.094	0.093	0.141	0.096	0.094	0.102	0.101	0.101	0.112	0.097	0.094	0.094
Plate6	E	0.095	0.098	0.161	0.106	0.101	0.112	0.104	0.106	0.115	0.097	0.099	0.096
Plate6	F	0.094	0.097	0.186	0.105	0.109	0.111	0.108	0.108	0.121	0.097	0.093	0.097
Plate6	G	0.094	0.095	0.169	0.119	0.114	0.115	0.107	0.11	0.124	0.096	0.096	0.094
Plate6	H	0.095	0.096	0.168	0.115	0.118	0.128	0.137	0.129	0.12	0.099	0.097	0.096
Plate7	Replicate	Blank19	WT	hdfR/fimE	P508_900	P520_900	hdfR/fimE	P508_900	P508_900	P520_900	Blank20	Blank21	Blank22
Plate7	A	0.092	0.1	0.108	0.104	0.104	0.102	0.122	0.114	0.122	0.089	0.089	0.089
Plate7	B	0.091	0.094	0.099	0.107	0.105	0.109	0.115	0.123	0.126	0.09	0.09	0.091
Plate7	C	0.092	0.094	0.1	0.121	0.105	0.115	0.117	0.124	0.115	0.09	0.09	0.089
Plate7	D	0.093	0.092	0.098	0.121	0.109	0.106	0.108	0.129	0.118	0.093	0.09	0.09
Plate7	E	0.092	0.093	0.104	0.127	0.106	0.114	0.114	0.13	0.117	0.09	0.09	0.089
Plate7	F	0.092	0.092	0.112	0.119	0.112	0.118	0.118	0.131	0.117	0.091	0.091	0.089
Plate7	G	0.09	0.094	0.096	0.134	0.113	0.093	0.122	0.127	0.116	0.09	0.089	0.089
Plate7	H	0.09	0.136	0.164	0.132	0.126	0.122	0.127	0.126	0.115	0.093	0.088	0.088
Plate8	Replicate	Blank23	WT	lrhA/fimE	hdfR/fimE	Blank24	Blank25	Blank26	Blank27	Blank28	Blank29	Blank30	Blank31
Plate8	A	0.048	0.088	0.087	0.08	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048
Plate8	B	0.047	0.068	0.093	0.078	0.047	0.047	0.047	0.047	0.047	0.047	0.047	0.047
Plate8	C	0.051	0.081	0.108	0.088	0.051	0.051	0.051	0.051	0.051	0.051	0.051	0.051
Plate8	D	0.05	0.077	0.091	0.086	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Plate8	E	0.046	0.072	0.093	0.082	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046
Plate8	F	0.055	0.073	0.111	0.087	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055
Plate8	G	0.048	0.069	0.098	0.079	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048
Plate8	H	0.045	0.098	0.137	0.118	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045
